Initial supply: 1000000000
year 1; TotalFunds 1034336838.2029252; Yearly inflation 34336838.20292515; Supply grow part 0.03433683820292515; Epoch provision 94073.5293230826
year 2; TotalFunds 1066301109.1975543; Yearly inflation 31964270.99462911; Supply grow part 0.030903154382632636; Epoch provision 87573.34519076468
year 3; TotalFunds 1095957970.2138684; Yearly inflation 29656861.016314; Supply grow part 0.027812838944369374; Epoch provision 81251.67401729863
year 4; TotalFunds 1123391502.477689; Yearly inflation 27433532.26382066; Supply grow part 0.025031555049932437; Epoch provision 75160.36236663195
year 5; TotalFunds 1148699715.090896; Yearly inflation 25308212.61320693; Supply grow part 0.022528399544939195; Epoch provision 69337.56880330665
year 6; TotalFunds 1171990244.615749; Yearly inflation 23290529.52485297; Supply grow part 0.020275559590445275; Epoch provision 63809.66993110402
year 7; TotalFunds 1193376726.8554633; Yearly inflation 21386482.23971444; Supply grow part 0.01824800363140075; Epoch provision 58593.102026614906
year 8; TotalFunds 1212975795.416222; Yearly inflation 19599068.56075887; Supply grow part 0.016423203268260675; Epoch provision 53696.07824865444
year 9; TotalFunds 1230904648.6590629; Yearly inflation 17928853.24284071; Supply grow part 0.014780882941434608; Epoch provision 49120.14587079647
year 10; TotalFunds 1247279120.4305704; Yearly inflation 16374471.771507572; Supply grow part 0.013302794647291147; Epoch provision 44861.56649728102
year 11; TotalFunds 1262212188.636818; Yearly inflation 14933068.20624762; Supply grow part 0.011972515182562031; Epoch provision 40912.51563355512
year 12; TotalFunds 1275812857.7696803; Yearly inflation 13600669.13286224; Supply grow part 0.01077526366430583; Epoch provision 37262.10721332121
year 13; TotalFunds 1288185355.7055821; Yearly inflation 12372497.935901836; Supply grow part 0.009697737297875247; Epoch provision 33897.25461890914
year 14; TotalFunds 1299428590.5591245; Yearly inflation 11243234.853542445; Supply grow part 0.008727963568087723; Epoch provision 30803.38316039026
year 15; TotalFunds 1309635819.417083; Yearly inflation 10207228.857958455; Supply grow part 0.00785516721127895; Epoch provision 27965.01056974919
year 16; TotalFunds 1318894486.9297445; Yearly inflation 9258667.51266136; Supply grow part 0.007069650490151055; Epoch provision 25366.212363455783
year 17; TotalFunds 1327286197.680127; Yearly inflation 8391710.750382353; Supply grow part 0.006362685441135949; Epoch provision 22990.988357211925
